epoch,step,test_accuracy,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_loss
0,749,,,,,,0.9051652550697327,0.19771187007427216
0,749,,,0.8446318507194519,0.8446318507194519,0.3380659520626068,,
1,1499,,,,,,0.9282993078231812,0.1473502516746521
1,1499,,,0.9162566661834717,0.9162566661834717,0.17365923523902893,,
2,2249,,,,,,0.9394429326057434,0.12479263544082642
2,2249,,,0.932650089263916,0.932650089263916,0.12903326749801636,,
3,2999,,,,,,0.9469813108444214,0.11583470553159714
3,2999,,,0.9421089887619019,0.9421089887619019,0.10204970091581345,,
4,3749,,,,,,0.9522097706794739,0.10469938814640045
4,3749,,,0.9489670991897583,0.9489670991897583,0.08558262139558792,,
5,3750,,,,,,0.9529638886451721,0.07801409065723419
5,3750,0.9535608291625977,0.10303308069705963,,,,,
